CustomerId,Amount_Mean,Amount_Std,Amount_Sum,Transaction_Count,Top_ProductCategory,Top_ChannelId,is_high_risk
CustomerId_1001,4000.0,6558.963332722634,20000.0,5,financial_services,ChannelId_3,1
CustomerId_1002,384.09090909090907,560.4989660196449,4225.0,11,financial_services,ChannelId_2,0
CustomerId_1003,3333.3333333333335,6030.478145774734,20000.0,6,airtime,ChannelId_3,0
CustomerId_1004,2000.0,,2000.0,1,airtime,ChannelId_3,1
CustomerId_1005,5422.222222222223,5983.6815126178335,48800.0,9,financial_services,ChannelId_3,1
CustomerId_1006,1000.0,,1000.0,1,financial_services,ChannelId_3,1
CustomerId_1007,28000.0,,28000.0,1,financial_services,ChannelId_3,1
CustomerId_1008,10000.0,0.0,20000.0,2,financial_services,ChannelId_3,1
CustomerId_1009,500.0,,500.0,1,airtime,ChannelId_3,0
CustomerId_1010,3762.1428571428573,4971.798816946486,26335.0,7,financial_services,ChannelId_3,1
CustomerId_1012,1687.918918918919,3441.4863138083697,124906.0,74,airtime,ChannelId_3,0
CustomerId_1014,95485.0,119332.84340149493,763880.0,8,financial_services,ChannelId_3,1
CustomerId_1016,4000.0,6745.368781616021,20000.0,5,financial_services,ChannelId_3,0
CustomerId_1020,1439.384236453202,2500.4482251946347,292195.0,203,financial_services,ChannelId_3,0
CustomerId_1021,5000.0,,5000.0,1,financial_services,ChannelId_3,1
CustomerId_1022,7000.0,,7000.0,1,airtime,ChannelId_3,1
CustomerId_1025,1075.0,1803.6536992079898,17200.0,16,financial_services,ChannelId_3,0
CustomerId_1027,1912.142857142857,3484.2705418482087,26770.0,14,financial_services,ChannelId_3,0
CustomerId_1028,500.0,,500.0,1,financial_services,ChannelId_3,0
CustomerId_1029,5666.666666666667,8692.669325356856,51000.0,9,financial_services,ChannelId_3,0
CustomerId_1030,293.75,713.8614811612364,2350.0,8,airtime,ChannelId_2,0
CustomerId_1031,2136.776,4615.395748241059,106838.8,50,airtime,ChannelId_3,0
CustomerId_1032,1000.0,0.0,2000.0,2,airtime,ChannelId_3,0
CustomerId_1033,475.0,742.4621202458749,950.0,2,airtime,ChannelId_2,1
CustomerId_1034,2531.75,7896.613345816885,40508.0,16,airtime,ChannelId_3,0
CustomerId_1038,3800.0,6685.805860178712,19000.0,5,financial_services,ChannelId_3,0
CustomerId_1039,8296.5,10395.940284387541,248895.0,30,financial_services,ChannelId_3,0
CustomerId_1040,50000.0,,50000.0,1,financial_services,ChannelId_3,1
